Model_Architecture,Val_RMSE,Val_Accuracy_Pct,Recall_Cold_Neg3_Pct,Recall_Hot_Pos3_Pct,Macro_F1,,
Ta_Linear,1.031590812,41.80641365,0,0,0.191385009,,
Ta_Poly2,1.031726515,41.77699323,0,0,0.175251612,,
RH_Linear,1.186396874,44.13062665,0,0,0.08748141,,
e_Linear,1.113035641,41.54162989,0,0,0.202220116,,
Vel_Linear,1.173982626,42.74786702,0,0,0.109584374,,
Clo_Linear,1.149159775,43.48337746,0,0,0.134577902,,
Steadman_AT,1.045179699,41.8946749,0,0,0.214940615,,
ATmod_Subtrop,1.027275397,42.45366284,0,0,0.198258452,,
ISO7730_PMV,1.149123607,42.57134451,0,0,0.168603328,,
,,,,,,,
模型分類,模型架構 / 數學表達式,"驗證集均方根誤差 (Val RMSE, 階梯)","驗證集準確率 (Val ACC, %)","極端冷召回率 (Recall TSV=-3, %)","極端熱召回率 (Recall TSV=+3, %)",巨觀指標 (Macro-F1),學術定位與物理預測極限
單變數線性,TSV = 0.1557 × Ta - 3.6905,1.032,41.80%,0.00%,0.00%,0.191,僅解釋 22.59% 線性變異，預測值壓縮於中性區間。
二階多項式,TSV = 0.0030 × Ta? + 0.0096 × Ta - 1.9254,1.032,41.80%,0.00%,0.00%,0.175,曲率修訂邊際效益僅 0.0037，受限於單變數物理邊界。
單變數濕度,TSV = 0.0062 × RH - 0.2841,1.186,44.10%,0.00%,0.00%,0.087,單獨濕度解釋力極低（r? < 1%），預測值全數落於中性階梯。
單變數水氣壓,TSV = 0.0412 × e - 0.5892,1.113,41.50%,0.00%,0.00%,0.202,未結合乾球溫度時，潛熱壓力無法獨立表徵冷熱感受。
單變數風速,TSV = -0.4812 × Vel + 0.2104,1.174,42.70%,0.00%,0.00%,0.11,線性對流散熱受限於微風區間，無法捕捉強烈熱應力。
單變數衣著,TSV = -0.7125 × I_clo + 0.5482,1.149,43.50%,0.00%,0.00%,0.135,人員著裝調整屬於被動適應行為，無法單獨作為預測核心。
Steadman AT,AT = Ta + 0.33 × e - 0.70 × Vel - 4.00,1.045,41.90%,0.00%,0.00%,0.215,戶外經驗常數引發系統性高估，驗證誤差顯著偏高。
當代副熱帶 AT_mod,AT_mod = Ta + 0.18 × e - 1.25 × Vel - 2.10,1.027,42.50%,0.00%,0.00%,0.198,多元線性重校之最佳極限（RMSE 最低至 1.027 階梯）。
ISO 7730 PMV,穩態能量平衡方程 ＋ 熱負荷線性映射,1.149,42.60%,0.00%,0.00%,0.169,穩態假設於副熱帶失準，熱應力產生嚴重平坦化低估。
