Variable,N_Valid,Min,Max,Mean,Std_Dev,Skewness,Kurtosis,Missing_Pct,,
T_sk,15570,28,37.6,34.16655748,1.150781499,-1.129360553,6.563539948,0,,
SBF,15570,0.917,971.402,188.0728739,141.2519677,0.723295667,3.250171291,0,,
Delta_Sweat,15570,-100,5693.17852,41.33939277,285.101992,9.789467203,134.9553661,0,,
HR,4797,45,186,88.07629769,23.15866185,1.160040588,4.469832186,69.19075145,,
TSV,15570,-3,3,0.358831085,1.112706111,0.356904323,4.338620972,0,,
,,,,,,,,,,
生理與感知變數名稱,特徵代號與物理單位,有效樣本數 (N_Valid),最小值 (Min),最大值 (Max),平均值 (Mean),標準差 (Std_Dev),原生偏態 (Skewness),原生峰度 (Kurtosis),缺失比例 (Missing %),資料工程、感測機制與多模態遮罩處置機制
體表前額溫度,T_sk (°C),"15,570",28,37.6,34.167,1.1508,-1.1294,6.5635,0.00%,橫河電機 MX100 搭配 PT100/SG900 貼片量測，經 60 秒均值同調化，通道完整度 100%。呈現負偏態血管收縮長尾。
微血管血液流量,SBF (a.u.),"15,570",0.917,971.4,188.07,141.25,0.7233,3.2502,0.00%,英國 Moor LDF1 雷射都卜勒採樣（40 Hz），經 3 秒中值濾波濾除運動晃動假影，峰度收斂於 3.25，無缺失。
相對出汗變化率,Delta_Sweat (%),"15,570",-100,5693.2,41.339,285.1,9.7895,134.96,0.00%,整合顯微鏡汗孔面積與皮膚電阻感測器，以個體初始靜休期為基線轉化為相對增量百分比，全域無缺失。後續施加平滑對數防禦。
連續心跳速率,HR (bpm),"4,797",45,186,88.076,23.159,1.16,4.4698,69.19%,"沈以塘動態運動協定實測；陳乙賢多重刺激協定未量測（10,773 筆填補 0 且標記 Mask_HR = 0），統計矩僅基於實測樣本計算。"
熱感覺投票,TSV (階梯),"15,570",-3,3,0.359,1.1127,0.3569,4.3386,0.00%,ASHRAE 7 階主觀標籤真值（中位數 = 0，IQR = 2，極端類別 ±3 佔比 18.24%），每 60 秒回報一次作為時序網格主錨點。
